Period;Period Sold;Code-Licensor;Name Licensor;CC;Label;LC;Artist;Title;EAN;ISRC;Label Order-Nr;Provider;Shop;Content;Country;Retail Price;Retail Price Currency;Publ.-%;Publ.-min;Publ.a piece;Publ.-EUR;Income;Share %;Share EUR;Sales;Revenue-EUR;Rev.less Publ.EUR
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;NL;0;EUR;0;0;0;0;0,002535127;80;0,002358258;5;0,011791288;0,011791288
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;IT;0;EUR;0;0;0;0;0,002517054;80;0,002341446;1;0,002341446;0,002341446
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;BE;0;EUR;0;0;0;0;0,002483758;80;0,002310473;20;0,046209451;0,046209451
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;SE;0;EUR;0;0;0;0;0,002482342;80;0,002309155;4;0,009236621;0,009236621
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;SG;0;EUR;0;0;0;0;0,002476619;80;0,002303832;13;0,029949811;0,029949811
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;DE;0;EUR;0;0;0;0;0,00247645;80;0,002303674;6;0,013822047;0,013822047
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;IT;0;EUR;0;0;0;0;0,002473326;80;0,002300768;2;0,004601537;0,004601537
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;EC;0;EUR;0;0;0;0;0,002472286;80;0,002299801;6;0,013798806;0,013798806
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;LV;0;EUR;0;0;0;0;0,002466773;80;0,002294673;1;0,002294673;0,002294673
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;GB;0;EUR;0;0;0;0;0,002465447;80;0,002293439;5;0,011467195;0,011467195
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;LV;0;EUR;0;0;0;0;0,002458696;80;0,002287159;1;0,002287159;0,002287159
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;RO;0;EUR;0;0;0;0;0,002453549;80;0,002282371;7;0,015976598;0,015976598
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;HN;0;EUR;0;0;0;0;0,002437466;80;0,00226741;3;0,006802231;0,006802231
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;SA;0;EUR;0;0;0;0;0,002431057;80;0,002261448;3;0,006784345;0,006784345
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;SK;0;EUR;0;0;0;0;0,002430212;80;0,002260662;2;0,004521325;0,004521325
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;RO;0;EUR;0;0;0;0;0,002428527;80;0,002259095;4;0,00903638;0,00903638
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;BH;0;EUR;0;0;0;0;0,002418885;80;0,002250126;13;0,029251633;0,029251633
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;BH;0;EUR;0;0;0;0;0,00239962;80;0,002232205;7;0,015625433;0,015625433
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;FR;0;EUR;0;0;0;0;0,002388444;80;0,002221808;94;0,208849987;0,208849987
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;SE;0;EUR;0;0;0;0;0,002380121;80;0,002214066;25;0,055351651;0,055351651
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;CA;0;EUR;0;0;0;0;0,002379899;80;0,00221386;3;0,006641579;0,006641579
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;HN;0;EUR;0;0;0;0;0,002365307;80;0,002200286;1;0,002200286;0,002200286
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;EC;0;EUR;0;0;0;0;0,002357818;80;0,002193319;10;0,021933191;0,021933191
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;NL;0;EUR;0;0;0;0;0,002347941;80;0,002184131;68;0,148520919;0,148520919
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;UY;0;EUR;0;0;0;0;0,002344765;80;0,002181177;1;0,002181177;0,002181177
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;FR;0;EUR;0;0;0;0;0,002335173;80;0,002172254;120;0,260670474;0,260670474
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;YouTube (Art Tracks);Subscription;DE;0;EUR;0;0;0;0;0,002322787;80;0,002160732;1;0,002160732;0,002160732
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;TW;0;EUR;0;0;0;0;0,002318989;80;0,002157199;4;0,008628796;0,008628796
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;CH;0;EUR;0;0;0;0;0,002310032;80;0,002148867;11;0,023637537;0,023637537
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;PA;0;EUR;0;0;0;0;0,002303041;80;0,002142364;5;0,010711819;0,010711819
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;AE;0;EUR;0;0;0;0;0,002300989;80;0,002140455;2;0,00428091;0,00428091
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;AT;0;EUR;0;0;0;0;0,002294615;80;0,002134526;55;0,117398907;0,117398907
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;PY;0;EUR;0;0;0;0;0,002290268;80;0,002130482;1;0,002130482;0,002130482
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;NL;0;EUR;0;0;0;0;0,002280078;80;0,002121003;132;0,279972368;0,279972368
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;US;0;EUR;0;0;0;0;0,002273829;80;0,00211519;382;0,808002492;0,808002492
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;AE;0;EUR;0;0;0;0;0,002273385;80;0,002114777;1;0,002114777;0,002114777
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;JP;0;EUR;0;0;0;0;0,002273161;80;0,002114568;1;0,002114568;0,002114568
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;AE;0;EUR;0;0;0;0;0,002273154;80;0,002114562;1;0,002114562;0,002114562
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;BO;0;EUR;0;0;0;0;0,002269013;80;0,00211071;11;0,023217807;0,023217807
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;CH;0;EUR;0;0;0;0;0,002267873;80;0,002109649;7;0,014767545;0,014767545
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;BA;0;EUR;0;0;0;0;0,002261516;80;0,002103736;1;0,002103736;0,002103736
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;AT;0;EUR;0;0;0;0;0,002259905;80;0,002102237;33;0,069373828;0,069373828
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;GB;0;EUR;0;0;0;0;0,002259595;80;0,002101949;20;0,042038977;0,042038977
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;GE;0;EUR;0;0;0;0;0,002253323;80;0,002096114;1;0,002096114;0,002096114
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;RS;0;EUR;0;0;0;0;0,002245865;80;0,002089177;1;0,002089177;0,002089177
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;BG;0;EUR;0;0;0;0;0,00224515;80;0,002088512;1;0,002088512;0,002088512
2021-12;2021-12;1027;Tropical Twista Records;0;Tropical Twista Records;99999;Franca;Microdosing;8,44216E+11;DEBE72100444;TTR075;Zebralution;Spotify;Subscription;CR;0;EUR;0;0;0;0;0,002243486;80;0,002086964;14;0,029217492;0,029217492
